Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2376.5,1780.5,0,0,1,190,9,42,81,241.374,237.495,228.084,3.89143,8.16185,11.4188, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,970.5,1589.5,0,0,1,525,14,30,49,158.126,134.56,112.177,19.5834,10.1916,4.59749, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1290.28,1510.8,1,0,1,546,14,34,41,150.764,133.592,111.383,20.5269,10.8516,4.51319, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1519.51,1490.44,1,0,1,133,7,32,61,173.722,149.729,123.075,8.21564,3.95868,3.32549, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1551.06,1491.24,1,0,1,296,10,32,73,180.574,154.115,122.341,8.73208,5.95796,4.30568, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1591,1461.5,1,0,1,591,14,32,41,152.915,134.895,114.332,21.6063,11.4564,5.17571, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1272.43,1445.98,1,0,1,888,18,36,46,154.456,135.714,108.762,22.2501,12.7584,4.79201, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1475.32,1395.21,1,0,1,125,7,40,25,138.528,130.672,113.8,8.60692,4.82157,3.90103, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,831,1398,1,0,1,502,14,30,41,150.558,131.157,111.137,19.0086,10.8416,4.32008, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1503.75,1386.25,1,0,1,359,11,36,32,144.805,132.256,113.17,16.8558,8.74604,4.51385, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1767.5,1353,1,0,1,416,12,36,31,145.685,133.637,115.976,20.7402,11.1316,4.89642, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,2110,1305.5,1,0,1,89,6,24,20,148.326,137.337,129.584,10.2406,6.15151,4.10422, "2021-07-31 [6:22:54 PM]: no comment"
